id,in,out,start,end,duration,text
0,1398,1455,78,135,2880,"I’m from Sondorillo district."
1,1455,1522,135,202,2880,I also want to speak to
2,1522,1602,202,282,2880,find out about the other sterilised women.
3,1529,1614,289,374,2880,To find out if they will help us. 
4,1529,1611,407,489,2880,"I feel bad, I want someone to help us,"
5,1526,1641,489,604,2880,to find out about all of us who were wrongly sterilised.
6,1529,1604,652,727,2880,My name is Santos Mijahuanca
7,1529,1583,761,815,2880,from Sondorillo district. 
